model,profile_id,repetition,w_low,w_high,delta
Claude Sonnet 4.6,P01,1,72.0,28.0,44.0
Claude Sonnet 4.6,P01,2,72.0,28.0,44.0
Claude Sonnet 4.6,P01,3,72.0,22.0,50.0
Claude Sonnet 4.6,P01,4,72.0,28.0,44.0
Claude Sonnet 4.6,P01,5,72.0,22.0,50.0
Claude Sonnet 4.6,P02,1,74.0,28.0,46.0
Claude Sonnet 4.6,P02,2,74.0,28.0,46.0
Claude Sonnet 4.6,P02,3,74.0,28.0,46.0
Claude Sonnet 4.6,P02,4,78.0,28.0,50.0
Claude Sonnet 4.6,P02,5,74.0,28.0,46.0
Claude Sonnet 4.6,P03,1,72.0,28.0,44.0
Claude Sonnet 4.6,P03,2,72.0,28.0,44.0
Claude Sonnet 4.6,P03,3,72.0,28.0,44.0
Claude Sonnet 4.6,P03,4,72.0,28.0,44.0
Claude Sonnet 4.6,P03,5,72.0,28.0,44.0
Claude Sonnet 4.6,P04,1,72.0,28.0,44.0
Claude Sonnet 4.6,P04,2,72.0,28.0,44.0
Claude Sonnet 4.6,P04,3,72.0,28.0,44.0
Claude Sonnet 4.6,P04,4,68.0,28.0,40.0
Claude Sonnet 4.6,P04,5,72.0,28.0,44.0
Claude Sonnet 4.6,P05,1,72.0,28.0,44.0
Claude Sonnet 4.6,P05,2,72.0,28.0,44.0
Claude Sonnet 4.6,P05,3,72.0,28.0,44.0
Claude Sonnet 4.6,P05,4,72.0,28.0,44.0
Claude Sonnet 4.6,P05,5,72.0,28.0,44.0
Claude Sonnet 4.6,P06,1,68.0,38.0,30.0
Claude Sonnet 4.6,P06,2,68.0,38.0,30.0
Claude Sonnet 4.6,P06,3,68.0,38.0,30.0
Claude Sonnet 4.6,P06,4,68.0,38.0,30.0
Claude Sonnet 4.6,P06,5,72.0,38.0,34.0
Claude Sonnet 4.6,P07,1,68.0,32.0,36.0
Claude Sonnet 4.6,P07,2,68.0,32.0,36.0
Claude Sonnet 4.6,P07,3,68.0,32.0,36.0
Claude Sonnet 4.6,P07,4,68.0,32.0,36.0
Claude Sonnet 4.6,P07,5,68.0,32.0,36.0
Claude Sonnet 4.6,P08,1,72.0,32.0,40.0
Claude Sonnet 4.6,P08,2,72.0,32.0,40.0
Claude Sonnet 4.6,P08,3,72.0,32.0,40.0
Claude Sonnet 4.6,P08,4,72.0,32.0,40.0
Claude Sonnet 4.6,P08,5,72.0,32.0,40.0
Claude Sonnet 4.6,P09,1,68.0,38.0,30.0
Claude Sonnet 4.6,P09,2,68.0,38.0,30.0
Claude Sonnet 4.6,P09,3,68.0,38.0,30.0
Claude Sonnet 4.6,P09,4,68.0,38.0,30.0
Claude Sonnet 4.6,P09,5,68.0,38.0,30.0
Claude Sonnet 4.6,P10,1,72.0,28.0,44.0
Claude Sonnet 4.6,P10,2,72.0,28.0,44.0
Claude Sonnet 4.6,P10,3,72.0,28.0,44.0
Claude Sonnet 4.6,P10,4,72.0,28.0,44.0
Claude Sonnet 4.6,P10,5,72.0,28.0,44.0
Claude Sonnet 4.6,P11,1,74.0,28.0,46.0
Claude Sonnet 4.6,P11,2,78.0,28.0,50.0
Claude Sonnet 4.6,P11,3,78.0,28.0,50.0
Claude Sonnet 4.6,P11,4,74.0,28.0,46.0
Claude Sonnet 4.6,P11,5,78.0,28.0,50.0
Claude Sonnet 4.6,P12,1,72.0,32.0,40.0
Claude Sonnet 4.6,P12,2,72.0,32.0,40.0
Claude Sonnet 4.6,P12,3,72.0,32.0,40.0
Claude Sonnet 4.6,P12,4,72.0,32.0,40.0
Claude Sonnet 4.6,P12,5,72.0,28.0,44.0
Claude Sonnet 4.6,P13,1,72.0,32.0,40.0
Claude Sonnet 4.6,P13,2,72.0,32.0,40.0
Claude Sonnet 4.6,P13,3,72.0,32.0,40.0
Claude Sonnet 4.6,P13,4,72.0,32.0,40.0
Claude Sonnet 4.6,P13,5,72.0,32.0,40.0
Claude Sonnet 4.6,P14,1,72.0,28.0,44.0
Claude Sonnet 4.6,P14,2,72.0,32.0,40.0
Claude Sonnet 4.6,P14,3,72.0,32.0,40.0
Claude Sonnet 4.6,P14,4,72.0,32.0,40.0
Claude Sonnet 4.6,P14,5,72.0,28.0,44.0
Claude Sonnet 4.6,P15,1,72.0,38.0,34.0
Claude Sonnet 4.6,P15,2,72.0,38.0,34.0
Claude Sonnet 4.6,P15,3,72.0,38.0,34.0
Claude Sonnet 4.6,P15,4,72.0,38.0,34.0
Claude Sonnet 4.6,P15,5,72.0,38.0,34.0
Claude Sonnet 4.6,P16,1,72.0,32.0,40.0
Claude Sonnet 4.6,P16,2,72.0,32.0,40.0
Claude Sonnet 4.6,P16,3,72.0,32.0,40.0
Claude Sonnet 4.6,P16,4,68.0,32.0,36.0
Claude Sonnet 4.6,P16,5,68.0,32.0,36.0
Claude Sonnet 4.6,P17,1,72.0,32.0,40.0
Claude Sonnet 4.6,P17,2,72.0,32.0,40.0
Claude Sonnet 4.6,P17,3,72.0,32.0,40.0
Claude Sonnet 4.6,P17,4,72.0,32.0,40.0
Claude Sonnet 4.6,P17,5,72.0,32.0,40.0
Claude Sonnet 4.6,P18,1,68.0,38.0,30.0
Claude Sonnet 4.6,P18,2,68.0,38.0,30.0
Claude Sonnet 4.6,P18,3,68.0,38.0,30.0
Claude Sonnet 4.6,P18,4,72.0,38.0,34.0
Claude Sonnet 4.6,P18,5,68.0,38.0,30.0
Claude Sonnet 4.6,P19,1,72.0,28.0,44.0
Claude Sonnet 4.6,P19,2,72.0,28.0,44.0
Claude Sonnet 4.6,P19,3,72.0,28.0,44.0
Claude Sonnet 4.6,P19,4,72.0,28.0,44.0
Claude Sonnet 4.6,P19,5,72.0,28.0,44.0
Claude Sonnet 4.6,P20,1,74.0,28.0,46.0
Claude Sonnet 4.6,P20,2,74.0,28.0,46.0
Claude Sonnet 4.6,P20,3,74.0,28.0,46.0
Claude Sonnet 4.6,P20,4,74.0,28.0,46.0
Claude Sonnet 4.6,P20,5,74.0,28.0,46.0
Claude Sonnet 4.6,P21,1,72.0,32.0,40.0
Claude Sonnet 4.6,P21,2,72.0,32.0,40.0
Claude Sonnet 4.6,P21,3,72.0,32.0,40.0
Claude Sonnet 4.6,P21,4,72.0,32.0,40.0
Claude Sonnet 4.6,P21,5,72.0,32.0,40.0
Claude Sonnet 4.6,P22,1,68.0,32.0,36.0
Claude Sonnet 4.6,P22,2,68.0,32.0,36.0
Claude Sonnet 4.6,P22,3,68.0,32.0,36.0
Claude Sonnet 4.6,P22,4,68.0,32.0,36.0
Claude Sonnet 4.6,P22,5,68.0,32.0,36.0
Claude Sonnet 4.6,P23,1,72.0,32.0,40.0
Claude Sonnet 4.6,P23,2,72.0,32.0,40.0
Claude Sonnet 4.6,P23,3,72.0,32.0,40.0
Claude Sonnet 4.6,P23,4,72.0,32.0,40.0
Claude Sonnet 4.6,P23,5,72.0,32.0,40.0
Claude Sonnet 4.6,P24,1,68.0,38.0,30.0
Claude Sonnet 4.6,P24,2,68.0,38.0,30.0
Claude Sonnet 4.6,P24,3,68.0,38.0,30.0
Claude Sonnet 4.6,P24,4,68.0,38.0,30.0
Claude Sonnet 4.6,P24,5,68.0,38.0,30.0
Claude Sonnet 4.6,P25,1,68.0,38.0,30.0
Claude Sonnet 4.6,P25,2,68.0,32.0,36.0
Claude Sonnet 4.6,P25,3,68.0,38.0,30.0
Claude Sonnet 4.6,P25,4,68.0,32.0,36.0
Claude Sonnet 4.6,P25,5,68.0,32.0,36.0
Claude Sonnet 4.6,P26,1,72.0,38.0,34.0
Claude Sonnet 4.6,P26,2,72.0,38.0,34.0
Claude Sonnet 4.6,P26,3,72.0,38.0,34.0
Claude Sonnet 4.6,P26,4,72.0,38.0,34.0
Claude Sonnet 4.6,P26,5,72.0,32.0,40.0
Claude Sonnet 4.6,P27,1,68.0,38.0,30.0
Claude Sonnet 4.6,P27,2,68.0,38.0,30.0
Claude Sonnet 4.6,P27,3,68.0,38.0,30.0
Claude Sonnet 4.6,P27,4,68.0,38.0,30.0
Claude Sonnet 4.6,P27,5,68.0,38.0,30.0
DeepSeek-V3.2,P01,1,75.0,20.0,55.0
DeepSeek-V3.2,P01,2,75.0,20.0,55.0
DeepSeek-V3.2,P01,3,75.0,25.0,50.0
DeepSeek-V3.2,P01,4,75.0,20.0,55.0
DeepSeek-V3.2,P01,5,75.0,20.0,55.0
DeepSeek-V3.2,P02,1,75.0,20.0,55.0
DeepSeek-V3.2,P02,2,75.0,20.0,55.0
DeepSeek-V3.2,P02,3,75.0,20.0,55.0
DeepSeek-V3.2,P02,4,75.0,20.0,55.0
DeepSeek-V3.2,P02,5,75.0,20.0,55.0
DeepSeek-V3.2,P03,1,75.0,20.0,55.0
DeepSeek-V3.2,P03,2,75.0,20.0,55.0
DeepSeek-V3.2,P03,3,75.0,20.0,55.0
DeepSeek-V3.2,P03,4,75.0,20.0,55.0
DeepSeek-V3.2,P03,5,75.0,20.0,55.0
DeepSeek-V3.2,P04,1,75.0,30.0,45.0
DeepSeek-V3.2,P04,2,75.0,25.0,50.0
DeepSeek-V3.2,P04,3,75.0,30.0,45.0
DeepSeek-V3.2,P04,4,75.0,30.0,45.0
DeepSeek-V3.2,P04,5,75.0,30.0,45.0
DeepSeek-V3.2,P05,1,75.0,25.0,50.0
DeepSeek-V3.2,P05,2,75.0,20.0,55.0
DeepSeek-V3.2,P05,3,75.0,25.0,50.0
DeepSeek-V3.2,P05,4,75.0,25.0,50.0
DeepSeek-V3.2,P05,5,75.0,25.0,50.0
DeepSeek-V3.2,P06,1,75.0,30.0,45.0
DeepSeek-V3.2,P06,2,75.0,30.0,45.0
DeepSeek-V3.2,P06,3,75.0,30.0,45.0
DeepSeek-V3.2,P06,4,75.0,30.0,45.0
DeepSeek-V3.2,P06,5,75.0,30.0,45.0
DeepSeek-V3.2,P07,1,75.0,30.0,45.0
DeepSeek-V3.2,P07,2,75.0,30.0,45.0
DeepSeek-V3.2,P07,3,75.0,30.0,45.0
DeepSeek-V3.2,P07,4,75.0,30.0,45.0
DeepSeek-V3.2,P07,5,75.0,30.0,45.0
DeepSeek-V3.2,P08,1,75.0,25.0,50.0
DeepSeek-V3.2,P08,2,75.0,20.0,55.0
DeepSeek-V3.2,P08,3,75.0,25.0,50.0
DeepSeek-V3.2,P08,4,75.0,25.0,50.0
